user_id,lifecycle_stage,days_since_signup,age_band,region,sessions_last_7d,exercises_completed_7d,streak_current,coins_balance,feature_ai_tutor_used,feature_leaderboard_viewed,feature_progress_checked,preferred_hour,notif_open_rate_30d,motivation_score,activeness_score,gamification_score,engagement_depth,churn_risk,churn_prob_score,cluster_id,segment_name
SYN_00026,inactive,73,35-44,tier3,0,0,1,0.0,0,0,0,3,0.03,0.19,0.011,0.049,0.006,critical,0.9997,1,Low Activity Users
SYN_00027,paid,118,18-24,tier1,11,18,28,508.15,0,1,1,18,0.27,0.59,0.684,0.838,0.504,low,0.0,0,Moderately Active Users
SYN_00028,paid,78,18-24,tier1,11,6,2,290.56,0,1,1,13,0.543,0.84,0.377,0.486,0.559,medium,0.0,0,Moderately Active Users
SYN_00029,paid,0,25-34,tier1,13,8,1,233.62,1,1,1,16,0.344,0.56,0.406,0.39,0.869,medium,0.0,0,Moderately Active Users
SYN_00030,paid,40,18-24,tier1,10,14,10,413.81,0,1,1,20,0.38,0.54,0.507,0.578,0.526,medium,0.0,0,Moderately Active Users
SYN_00031,churned,138,25-34,tier2,2,0,0,5.32,0,0,0,11,0.139,0.39,0.056,0.081,0.028,critical,0.8914,1,Low Activity Users
SYN_00032,trial,1,25-34,tier2,13,4,2,11.89,0,0,1,14,0.369,0.53,0.356,0.135,0.274,high,0.0002,0,Moderately Active Users
SYN_00033,paid,45,18-24,tier1,12,19,13,365.95,0,1,1,22,0.584,0.78,0.666,0.636,0.567,low,0.0,0,Moderately Active Users
SYN_00034,inactive,91,18-24,tier1,0,1,0,0.0,1,0,0,20,0.0,0.33,0.015,0.066,0.35,critical,0.9969,1,Low Activity Users
SYN_00035,paid,60,25-34,tier1,9,13,10,432.55,1,1,0,19,0.349,0.58,0.469,0.595,0.67,medium,0.0,0,Moderately Active Users
SYN_00036,trial,24,35-44,tier1,6,11,4,163.47,0,1,1,23,0.467,0.72,0.366,0.421,0.543,medium,0.0,0,Moderately Active Users
SYN_00037,paid,77,25-34,tier2,6,10,16,234.93,1,1,1,18,0.48,0.71,0.43,0.59,0.896,medium,0.0,0,Moderately Active Users
SYN_00038,inactive,67,35-44,tier1,1,0,0,0.0,0,0,0,10,0.028,0.2,0.022,0.04,0.006,critical,0.9996,1,Low Activity Users
SYN_00039,paid,46,18-24,tier3,6,12,17,290.45,0,1,1,5,0.497,0.88,0.469,0.663,0.549,medium,0.0,0,Moderately Active Users
SYN_00040,churned,148,25-34,tier2,0,0,0,0.0,0,0,1,21,0.118,0.44,0.018,0.088,0.224,critical,0.7849,1,Low Activity Users
SYN_00041,paid,32,18-24,tier1,12,12,13,370.19,1,1,1,18,0.355,0.58,0.527,0.598,0.871,low,0.0,0,Moderately Active Users
SYN_00042,paid,23,18-24,tier2,3,16,4,604.39,1,1,1,17,0.343,0.72,0.37,0.639,0.869,medium,0.0,0,Moderately Active Users
SYN_00043,paid,0,35-44,tier3,16,13,1,280.44,1,1,1,9,0.323,0.59,0.53,0.42,0.865,low,0.0,0,Moderately Active Users
SYN_00044,trial,0,35-44,tier1,7,7,0,24.14,0,1,1,19,0.48,0.62,0.3,0.286,0.546,high,0.0002,0,Moderately Active Users
SYN_00045,paid,64,35-44,tier3,7,7,16,239.44,0,1,1,19,0.529,0.73,0.41,0.596,0.556,medium,0.0,0,Moderately Active Users
SYN_00046,trial,0,18-24,tier1,12,8,1,101.82,0,0,1,21,0.353,0.88,0.389,0.238,0.271,medium,0.0,0,Moderately Active Users
SYN_00047,inactive,100,35-44,tier1,0,0,0,21.28,1,0,0,20,0.0,0.25,0.0,0.061,0.35,critical,0.9986,1,Low Activity Users
SYN_00048,paid,86,18-24,tier1,7,17,13,515.22,1,1,1,19,0.447,0.92,0.528,0.738,0.889,low,0.0,0,Moderately Active Users
SYN_00049,inactive,45,35-44,tier3,1,0,0,26.92,0,0,0,7,0.01,0.16,0.019,0.045,0.002,critical,0.9999,1,Low Activity Users
SYN_00050,churned,131,25-34,tier2,0,1,0,7.37,0,0,1,19,0.134,0.4,0.035,0.084,0.227,critical,0.7997,1,Low Activity Users
SYN_00051,trial,9,18-24,tier2,3,2,1,11.77,0,0,1,7,0.567,0.98,0.174,0.213,0.313,high,0.009,0,Moderately Active Users
SYN_00052,inactive,41,18-24,tier1,1,1,0,30.25,0,0,0,8,0.019,0.07,0.035,0.029,0.004,critical,0.9999,1,Low Activity Users
SYN_00053,churned,105,25-34,tier2,0,0,0,16.8,0,0,0,9,0.183,0.43,0.027,0.094,0.037,critical,0.9851,1,Low Activity Users
SYN_00054,trial,0,18-24,tier1,11,6,1,33.16,0,1,1,16,0.398,0.82,0.349,0.342,0.53,medium,0.0,0,Moderately Active Users
SYN_00055,trial,0,35-44,tier2,9,7,1,54.33,0,0,1,7,0.251,0.74,0.307,0.186,0.25,high,0.0002,0,Moderately Active Users
SYN_00056,trial,202,35-44,tier1,0,0,0,19.46,0,0,0,6,0.031,0.31,0.005,0.072,0.006,critical,0.926,1,Low Activity Users
SYN_00057,paid,51,35-44,tier1,7,14,8,617.61,1,1,1,18,0.354,0.73,0.437,0.686,0.871,low,0.0,0,Moderately Active Users
SYN_00058,paid,100,18-24,tier1,8,17,10,573.56,1,1,1,22,0.368,0.96,0.515,0.742,0.874,low,0.0,0,Moderately Active Users
SYN_00059,inactive,13,35-44,tier3,0,0,0,34.86,0,0,0,5,0.059,0.06,0.009,0.029,0.012,critical,1.0,1,Low Activity Users
SYN_00060,inactive,7,18-24,tier1,0,0,1,0.0,0,0,0,6,0.006,0.11,0.007,0.033,0.001,critical,1.0,1,Low Activity Users
SYN_00061,paid,0,25-34,tier1,16,7,1,287.82,1,1,1,11,0.455,0.89,0.46,0.483,0.891,medium,0.0,0,Moderately Active Users
SYN_00062,paid,11,18-24,tier1,13,6,12,190.56,0,0,1,20,0.49,0.72,0.468,0.375,0.298,medium,0.0,0,Moderately Active Users
SYN_00063,trial,0,35-44,tier3,4,5,1,74.71,0,1,1,12,0.33,0.66,0.201,0.331,0.516,high,0.0113,0,Moderately Active Users
SYN_00064,paid,69,18-24,tier1,11,12,11,414.73,1,1,1,13,0.223,0.48,0.477,0.578,0.845,medium,0.0,0,Moderately Active Users
SYN_00065,paid,77,25-34,tier3,9,5,21,123.38,1,1,1,22,0.372,0.5,0.424,0.549,0.874,medium,0.0,0,Moderately Active Users
SYN_00066,trial,0,25-34,tier1,5,8,1,86.95,0,0,1,21,0.208,0.7,0.245,0.195,0.242,high,0.0037,0,Moderately Active Users
SYN_00067,paid,62,35-44,tier3,10,9,23,238.21,1,1,1,23,0.594,0.83,0.547,0.695,0.919,low,0.0,0,Moderately Active Users
SYN_00068,trial,10,18-24,tier1,7,6,2,41.34,0,0,0,18,0.424,0.56,0.289,0.155,0.085,high,0.0071,1,Low Activity Users
SYN_00069,paid,85,18-24,tier1,9,18,11,581.92,1,1,1,22,0.362,0.91,0.553,0.747,0.872,low,0.0,0,Moderately Active Users
SYN_00070,paid,111,18-24,tier1,7,4,12,205.2,0,1,1,17,0.456,0.59,0.328,0.506,0.541,medium,0.0,0,Moderately Active Users
SYN_00071,paid,0,35-44,tier3,6,14,1,460.3,1,1,1,4,0.43,0.96,0.386,0.583,0.886,medium,0.0,0,Moderately Active Users
SYN_00072,paid,63,35-44,tier3,5,13,23,345.4,0,1,1,5,0.42,0.82,0.494,0.746,0.534,low,0.0,0,Moderately Active Users
SYN_00073,paid,114,35-44,tier2,11,18,27,454.93,0,1,1,18,0.215,0.58,0.669,0.798,0.493,low,0.0,0,Moderately Active Users
SYN_00074,trial,0,18-24,tier3,14,5,1,51.95,0,1,0,22,0.383,0.8,0.384,0.347,0.327,medium,0.0,0,Moderately Active Users
SYN_00075,inactive,74,18-24,tier1,0,0,0,16.18,0,0,0,8,0.068,0.23,0.01,0.054,0.014,critical,0.9996,1,Low Activity Users
SYN_00076,paid,12,18-24,tier1,8,14,13,356.94,1,1,1,3,0.417,0.91,0.496,0.657,0.883,low,0.0,0,Moderately Active Users
SYN_00077,paid,76,25-34,tier1,11,9,12,417.67,0,1,0,20,0.264,0.62,0.445,0.618,0.303,medium,0.0,0,Moderately Active Users
SYN_00078,paid,17,18-24,tier1,10,17,11,452.14,0,1,1,14,0.51,0.51,0.577,0.602,0.552,low,0.0,0,Moderately Active Users
SYN_00079,inactive,7,35-44,tier3,0,0,0,0.0,0,0,0,7,0.034,0.15,0.005,0.03,0.007,critical,1.0,1,Low Activity Users
SYN_00080,trial,4,18-24,tier1,5,6,2,63.89,0,1,1,12,0.412,0.85,0.252,0.375,0.532,high,0.0003,0,Moderately Active Users
SYN_00081,trial,0,18-24,tier1,9,8,0,86.24,1,1,1,20,0.333,0.79,0.327,0.351,0.867,medium,0.0,0,Moderately Active Users
SYN_00082,trial,0,25-34,tier3,1,1,0,46.87,0,0,1,6,0.487,0.95,0.106,0.213,0.297,high,0.2068,0,Moderately Active Users
SYN_00083,paid,8,25-34,tier1,6,6,9,140.16,1,1,1,13,0.501,0.8,0.328,0.482,0.9,medium,0.0,0,Moderately Active Users
SYN_00084,paid,106,25-34,tier2,12,7,12,439.26,0,1,1,16,0.324,0.55,0.441,0.615,0.515,medium,0.0,0,Moderately Active Users
SYN_00085,paid,94,25-34,tier2,8,5,14,153.95,0,1,1,19,0.326,0.76,0.354,0.537,0.515,medium,0.0,0,Moderately Active Users
SYN_00086,churned,92,18-24,tier2,0,3,0,33.9,0,1,0,20,0.0,0.18,0.045,0.203,0.25,critical,0.9909,1,Low Activity Users
SYN_00087,paid,96,18-24,tier1,5,8,0,354.93,1,1,1,20,0.375,0.65,0.264,0.457,0.875,medium,0.0,0,Moderately Active Users
SYN_00088,paid,91,18-24,tier1,3,7,8,302.82,0,1,1,15,0.388,0.71,0.267,0.534,0.528,medium,0.0,0,Moderately Active Users
SYN_00089,inactive,45,35-44,tier3,0,0,0,18.43,0,1,0,16,0.098,0.26,0.015,0.211,0.27,critical,0.9993,1,Low Activity Users
SYN_00090,paid,124,25-34,tier1,7,17,24,443.66,1,1,0,12,0.279,0.67,0.574,0.777,0.656,low,0.0,0,Moderately Active Users
SYN_00091,churned,92,18-24,tier1,0,0,2,40.36,0,0,0,23,0.091,0.24,0.027,0.091,0.018,critical,0.9981,1,Low Activity Users
SYN_00092,churned,130,25-34,tier2,0,1,1,0.0,0,1,0,20,0.136,0.39,0.042,0.239,0.277,critical,0.8847,1,Low Activity Users
SYN_00093,trial,175,35-44,tier1,1,0,0,2.7,0,0,1,9,0.048,0.19,0.025,0.039,0.21,critical,0.8627,1,Low Activity Users
SYN_00094,paid,25,18-24,tier1,13,16,16,391.09,0,1,1,21,0.554,0.8,0.654,0.686,0.561,low,0.0,0,Moderately Active Users
SYN_00095,trial,22,25-34,tier3,4,7,3,50.42,0,1,1,13,0.32,0.46,0.242,0.301,0.514,high,0.0046,0,Moderately Active Users
SYN_00096,trial,11,25-34,tier2,4,3,0,2.47,0,0,1,6,0.498,0.86,0.19,0.173,0.3,high,0.0101,0,Moderately Active Users
SYN_00097,trial,22,18-24,tier1,7,6,3,25.4,0,0,0,22,0.387,0.61,0.29,0.169,0.077,high,0.0038,1,Low Activity Users
SYN_00098,paid,87,18-24,tier2,20,13,18,306.08,0,1,1,18,0.322,0.66,0.709,0.638,0.514,low,0.0,0,Moderately Active Users
SYN_00099,trial,0,25-34,tier2,4,8,1,74.14,0,0,0,17,0.331,0.72,0.246,0.192,0.066,high,0.0168,1,Low Activity Users
SYN_00100,trial,0,25-34,tier2,11,3,1,8.66,0,0,1,13,0.339,0.5,0.295,0.116,0.268,high,0.0028,0,Moderately Active Users
SYN_00101,inactive,62,35-44,tier3,0,0,0,39.96,0,0,0,7,0.082,0.22,0.012,0.064,0.016,critical,0.9997,1,Low Activity Users
SYN_00102,paid,60,35-44,tier1,18,9,13,277.77,1,1,1,20,0.278,0.71,0.576,0.578,0.856,low,0.0,0,Moderately Active Users
SYN_00103,trial,0,35-44,tier3,12,6,1,49.05,0,1,1,4,0.299,0.75,0.351,0.336,0.51,medium,0.0,0,Moderately Active Users
SYN_00104,trial,188,18-24,tier3,1,0,0,13.52,0,1,0,5,0.0,0.2,0.017,0.197,0.25,critical,0.9085,1,Low Activity Users
SYN_00105,paid,75,18-24,tier1,7,16,7,586.88,0,1,1,21,0.379,0.93,0.465,0.708,0.526,low,0.0,0,Moderately Active Users
SYN_00106,inactive,70,18-24,tier1,0,0,1,23.25,0,0,0,8,0.013,0.24,0.008,0.071,0.003,critical,0.9997,1,Low Activity Users
SYN_00107,paid,1,35-44,tier2,7,5,2,196.92,1,1,1,5,0.377,0.63,0.267,0.397,0.875,high,0.0002,0,Moderately Active Users
SYN_00108,paid,118,25-34,tier2,10,17,28,514.14,0,1,1,19,0.266,0.52,0.651,0.827,0.503,low,0.0,0,Moderately Active Users
SYN_00109,paid,74,35-44,tier3,7,12,22,423.48,1,1,1,0,0.467,0.88,0.514,0.786,0.893,low,0.0,0,Moderately Active Users
SYN_00110,paid,22,35-44,tier1,7,4,23,167.32,0,1,1,10,0.436,0.77,0.396,0.647,0.537,medium,0.0,0,Moderately Active Users
SYN_00111,inactive,59,18-24,tier1,0,0,0,16.93,0,0,0,10,0.106,0.2,0.016,0.048,0.021,critical,0.9997,1,Low Activity Users
SYN_00112,paid,80,18-24,tier1,8,14,10,545.07,1,1,1,22,0.378,0.97,0.471,0.729,0.876,low,0.0,0,Moderately Active Users
SYN_00113,paid,81,18-24,tier1,9,16,11,593.14,0,1,1,21,0.412,0.86,0.53,0.743,0.532,low,0.0,0,Moderately Active Users
SYN_00114,paid,0,35-44,tier1,14,7,1,192.42,1,1,1,13,0.339,0.68,0.407,0.394,0.868,medium,0.0,0,Moderately Active Users
SYN_00115,churned,141,18-24,tier1,0,1,0,44.09,0,1,0,21,0.044,0.31,0.022,0.234,0.259,critical,0.9447,1,Low Activity Users
SYN_00116,paid,16,18-24,tier2,6,14,16,333.01,1,1,1,7,0.409,0.98,0.48,0.693,0.882,low,0.0,0,Moderately Active Users
SYN_00117,paid,72,18-24,tier1,19,10,21,325.0,1,1,1,19,0.267,0.63,0.658,0.676,0.853,low,0.0,0,Moderately Active Users
SYN_00118,trial,0,25-34,tier2,11,2,1,2.14,0,1,1,12,0.34,0.51,0.28,0.264,0.518,high,0.0018,0,Moderately Active Users
SYN_00119,trial,27,25-34,tier1,6,5,1,33.18,0,1,0,11,0.384,0.52,0.244,0.282,0.327,high,0.0122,0,Moderately Active Users
SYN_00120,trial,6,35-44,tier1,5,3,2,45.49,0,1,0,11,0.248,0.6,0.183,0.315,0.3,high,0.2216,1,Low Activity Users
SYN_00121,paid,111,25-34,tier2,10,15,28,517.73,1,1,1,19,0.294,0.47,0.625,0.819,0.859,low,0.0,0,Moderately Active Users
SYN_00122,paid,64,18-24,tier3,10,10,27,389.16,1,0,0,9,0.289,0.68,0.543,0.635,0.408,medium,0.0,0,Moderately Active Users
SYN_00123,churned,90,18-24,tier3,1,0,0,68.17,0,1,0,22,0.079,0.24,0.029,0.232,0.266,critical,0.9918,1,Low Activity Users
SYN_00124,paid,10,18-24,tier2,7,13,11,425.36,1,1,1,6,0.44,0.91,0.454,0.669,0.888,medium,0.0,0,Moderately Active Users
SYN_00125,trial,16,25-34,tier2,3,3,1,21.44,0,0,1,9,0.498,0.92,0.179,0.206,0.3,high,0.0086,0,Moderately Active Users
SYN_00126,churned,129,18-24,tier1,3,0,1,26.15,0,0,0,23,0.028,0.06,0.063,0.036,0.006,critical,0.9903,1,Low Activity Users
SYN_00127,inactive,49,35-44,tier3,0,0,0,16.8,0,0,0,4,0.065,0.18,0.01,0.044,0.013,critical,0.9999,1,Low Activity Users
SYN_00128,paid,21,35-44,tier3,13,10,16,318.11,1,1,1,14,0.24,0.65,0.517,0.62,0.848,medium,0.0,0,Moderately Active Users
SYN_00129,paid,119,18-24,tier3,8,2,7,207.84,0,1,1,16,0.458,0.56,0.284,0.445,0.542,medium,0.0,0,Moderately Active Users
SYN_00130,paid,6,18-24,tier1,8,15,7,487.41,1,1,1,13,0.464,0.49,0.48,0.571,0.893,medium,0.0,0,Moderately Active Users
SYN_00131,trial,0,25-34,tier1,12,2,1,20.46,0,0,1,12,0.356,0.5,0.3,0.122,0.271,high,0.0021,0,Moderately Active Users
SYN_00132,paid,78,35-44,tier3,9,6,18,184.45,1,1,1,23,0.607,0.72,0.455,0.589,0.921,medium,0.0,0,Moderately Active Users
SYN_00133,paid,23,18-24,tier1,5,15,1,481.58,1,1,1,16,0.369,0.74,0.374,0.55,0.874,medium,0.0,0,Moderately Active Users
SYN_00134,paid,9,25-34,tier3,5,15,10,445.04,0,1,1,4,0.422,0.89,0.44,0.663,0.534,medium,0.0,0,Moderately Active Users
SYN_00135,churned,109,18-24,tier1,0,1,0,23.15,0,0,0,21,0.047,0.23,0.022,0.058,0.009,critical,0.997,1,Low Activity Users
SYN_00136,paid,31,35-44,tier1,13,6,24,284.97,1,1,1,20,0.444,0.62,0.539,0.687,0.889,medium,0.0,0,Moderately Active Users
SYN_00137,paid,103,18-24,tier2,11,19,27,549.5,1,1,1,17,0.225,0.6,0.685,0.85,0.845,low,0.0,0,Moderately Active Users
SYN_00138,inactive,4,18-24,tier1,2,0,0,21.41,0,0,0,6,0.086,0.14,0.048,0.039,0.017,critical,0.9999,1,Low Activity Users
SYN_00139,paid,26,18-24,tier1,3,15,3,501.02,1,1,0,14,0.37,0.74,0.352,0.582,0.674,medium,0.0,0,Moderately Active Users
SYN_00140,churned,110,25-34,tier2,0,0,1,30.28,0,0,0,9,0.132,0.42,0.026,0.11,0.026,critical,0.9853,1,Low Activity Users
SYN_00141,churned,117,18-24,tier1,2,0,1,21.03,0,0,0,21,0.031,0.16,0.046,0.054,0.006,critical,0.9941,1,Low Activity Users
SYN_00142,paid,36,18-24,tier1,6,16,3,543.96,1,1,1,16,0.356,0.73,0.418,0.602,0.871,medium,0.0,0,Moderately Active Users
SYN_00143,inactive,58,18-24,tier1,0,1,0,13.58,0,0,0,11,0.024,0.35,0.019,0.077,0.005,critical,0.9992,1,Low Activity Users
SYN_00144,trial,0,18-24,tier3,5,4,1,59.01,0,1,1,10,0.331,0.57,0.204,0.305,0.516,high,0.0215,0,Moderately Active Users
SYN_00145,paid,27,35-44,tier1,16,14,14,267.08,1,1,1,12,0.305,0.55,0.626,0.552,0.861,low,0.0,0,Moderately Active Users
SYN_00146,paid,89,18-24,tier1,16,10,0,226.97,1,1,1,10,0.538,0.78,0.511,0.419,0.908,low,0.0,0,Moderately Active Users
SYN_00147,paid,21,18-24,tier1,10,4,16,95.47,1,1,1,19,0.532,0.72,0.418,0.522,0.906,medium,0.0,0,Moderately Active Users
SYN_00148,trial,0,25-34,tier2,7,4,1,14.0,0,0,0,12,0.316,0.86,0.236,0.19,0.063,high,0.0153,1,Low Activity Users
SYN_00149,trial,2,35-44,tier1,8,8,1,13.84,0,1,0,20,0.361,0.72,0.321,0.312,0.322,high,0.0003,0,Moderately Active Users
SYN_00150,inactive,46,18-24,tier1,0,0,1,19.69,1,0,0,13,0.0,0.09,0.006,0.039,0.35,critical,0.9999,1,Low Activity Users
SYN_00151,inactive,49,35-44,tier3,0,0,1,0.0,0,0,0,8,0.054,0.23,0.015,0.057,0.011,critical,0.9998,1,Low Activity Users
SYN_00152,paid,23,18-24,tier1,12,8,22,224.17,0,1,1,15,0.481,0.62,0.544,0.634,0.546,medium,0.0,0,Moderately Active Users
SYN_00153,inactive,23,35-44,tier3,2,1,0,41.12,0,0,0,8,0.093,0.12,0.064,0.045,0.019,critical,0.9996,1,Low Activity Users
SYN_00154,inactive,55,35-44,tier3,0,0,0,2.6,0,0,0,8,0.136,0.22,0.02,0.045,0.027,critical,0.9997,1,Low Activity Users
SYN_00155,paid,64,25-34,tier3,10,11,17,297.94,1,1,1,21,0.619,0.8,0.543,0.651,0.924,low,0.0,0,Moderately Active Users
SYN_00156,trial,0,35-44,tier3,8,7,1,64.27,0,1,0,6,0.346,0.82,0.303,0.357,0.319,high,0.0003,0,Moderately Active Users
SYN_00157,inactive,76,18-24,tier1,0,0,2,36.77,0,0,0,23,0.046,0.06,0.02,0.053,0.009,critical,0.9998,1,Low Activity Users
SYN_00158,trial,204,35-44,tier3,3,0,0,56.98,0,1,0,7,0.091,0.31,0.066,0.24,0.268,high,0.1688,1,Low Activity Users
SYN_00159,paid,87,18-24,tier2,7,4,15,193.53,0,0,1,18,0.304,0.71,0.325,0.408,0.261,medium,0.0,0,Moderately Active Users
SYN_00160,trial,12,25-34,tier3,1,3,0,20.37,0,0,1,6,0.482,0.83,0.135,0.176,0.296,high,0.1091,1,Low Activity Users
SYN_00161,trial,0,35-44,tier3,2,5,1,41.96,0,1,0,5,0.284,0.71,0.159,0.324,0.307,high,0.2762,1,Low Activity Users
SYN_00162,trial,10,18-24,tier1,2,3,2,43.46,0,0,1,14,0.332,0.54,0.143,0.152,0.266,high,0.4899,1,Low Activity Users
SYN_00163,paid,54,18-24,tier1,8,5,22,177.33,1,1,1,23,0.382,0.55,0.414,0.597,0.876,medium,0.0,0,Moderately Active Users
SYN_00164,trial,14,25-34,tier2,7,2,3,14.59,0,1,1,9,0.299,0.87,0.217,0.365,0.51,high,0.0014,0,Moderately Active Users
SYN_00165,paid,10,18-24,tier3,13,8,11,294.7,0,1,1,14,0.317,0.58,0.466,0.538,0.513,medium,0.0,0,Moderately Active Users
SYN_00166,trial,12,25-34,tier2,3,5,0,26.46,0,1,1,8,0.485,0.86,0.2,0.335,0.547,high,0.0018,0,Moderately Active Users
SYN_00167,paid,27,25-34,tier1,15,9,18,219.22,1,1,1,8,0.373,0.95,0.57,0.653,0.875,low,0.0,0,Moderately Active Users
SYN_00168,paid,46,18-24,tier1,12,19,12,474.56,1,1,1,21,0.577,0.85,0.659,0.693,0.915,low,0.0,0,Moderately Active Users
SYN_00169,inactive,33,35-44,tier3,0,0,2,22.95,0,0,0,9,0.046,0.18,0.02,0.07,0.009,critical,0.9999,1,Low Activity Users
SYN_00170,inactive,27,18-24,tier1,0,0,1,36.2,0,0,0,13,0.048,0.11,0.014,0.051,0.01,critical,1.0,1,Low Activity Users
SYN_00171,paid,16,35-44,tier3,11,6,17,263.4,0,1,0,22,0.355,0.68,0.445,0.61,0.321,medium,0.0,0,Moderately Active Users
SYN_00172,inactive,37,35-44,tier1,0,0,0,38.6,0,0,0,17,0.08,0.13,0.012,0.045,0.016,critical,0.9999,1,Low Activity Users
SYN_00173,paid,23,18-24,tier2,12,16,3,409.52,0,1,1,21,0.472,0.56,0.54,0.501,0.544,low,0.0,0,Moderately Active Users
SYN_00174,trial,0,25-34,tier1,4,2,1,30.07,0,0,1,8,0.534,0.82,0.187,0.19,0.307,high,0.0213,0,Moderately Active Users
SYN_00175,trial,174,35-44,tier3,0,0,0,7.43,0,0,1,8,0.098,0.2,0.015,0.044,0.22,critical,0.8952,1,Low Activity Users
SYN_00176,trial,0,18-24,tier1,11,8,0,96.08,1,1,0,20,0.402,0.9,0.373,0.378,0.68,medium,0.0,0,Moderately Active Users
SYN_00177,trial,28,18-24,tier2,4,9,0,112.89,0,1,0,21,0.183,0.76,0.232,0.358,0.287,high,0.0023,0,Moderately Active Users
SYN_00178,churned,107,18-24,tier1,2,0,0,11.57,0,0,1,22,0.012,0.14,0.037,0.034,0.202,critical,0.986,1,Low Activity Users
SYN_00179,paid,93,25-34,tier2,8,12,19,168.53,0,1,1,19,0.499,0.75,0.517,0.599,0.55,low,0.0,0,Moderately Active Users
SYN_00180,paid,7,35-44,tier3,9,1,8,125.23,0,0,1,3,0.399,0.69,0.284,0.291,0.28,high,0.0008,0,Moderately Active Users
