user_id,segment_id,segment_name,lifecycle_stage,lifecycle_day,churn_risk,activeness_score,freq_band,n_notifs_today,primary_window,secondary_window,guardrail_uninstall_rate_pct,frequency_strategy,notif_1_template_id,notif_1_time,notif_1_channel,notif_2_template_id,notif_2_time,notif_2_channel,notif_3_template_id,notif_3_time,notif_3_channel,notif_4_template_id,notif_4_time,notif_4_channel,notif_5_template_id,notif_5_time,notif_5_channel,notif_6_template_id,notif_6_time,notif_6_channel,notif_7_template_id,notif_7_time,notif_7_channel,notif_8_template_id,notif_8_time,notif_8_channel,notif_9_template_id,notif_9_time,notif_9_channel
SYN_00019,SEG_00_PAI_MED,Moderately Active Users,paid,23,medium,0.521,moderate_active,5,late_afternoon,afternoon,0.674,Balanced approach,TMPL_0012,16:00,push,TMPL_0012,13:00,push,TMPL_0012,16:00,push,TMPL_0012,13:00,push,TMPL_0012,16:00,push,,,,,,,,,,,,
SYN_00020,SEG_01_INA_CRI,Low Activity Users,inactive,17,critical,0.0,low_active,3,night,mid_morning,1.842,"Conservative, avoid fatigue",TMPL_0037,22:00,push,TMPL_0037,10:00,push,TMPL_0037,22:00,push,,,,,,,,,,,,,,,,,,
SYN_00021,SEG_01_TRI_HIG,Low Activity Users,trial,18,high,0.324,low_active,3,afternoon,late_afternoon,1.886,"Conservative, avoid fatigue",TMPL_0047,13:00,push,TMPL_0047,16:00,push,TMPL_0047,13:00,push,,,,,,,,,,,,,,,,,,
SYN_00022,SEG_00_TRI_MED,Moderately Active Users,trial,0,medium,0.38,low_active,3,late_afternoon,evening,0.486,"Conservative, avoid fatigue",TMPL_0021,16:00,push,TMPL_0022,19:00,push,TMPL_0021,16:00,push,,,,,,,,,,,,,,,,,,
SYN_00023,SEG_01_CHU_CRI,Low Activity Users,churned,106,critical,0.022,low_active,3,afternoon,early_morning,1.83,"Conservative, avoid fatigue",TMPL_0029,13:00,push,TMPL_0029,07:00,push,TMPL_0029,13:00,push,,,,,,,,,,,,,,,,,,
SYN_00024,SEG_00_TRI_HIG,Moderately Active Users,trial,0,high,0.259,low_active,1,late_afternoon,afternoon,2.096,"Conservative, avoid fatigue [GUARDRAIL APPLIED]",TMPL_0017,16:00,push,,,,,,,,,,,,,,,,,,,,,,,,
SYN_00025,SEG_00_PAI_LOW,Moderately Active Users,paid,103,low,0.503,moderate_active,5,late_afternoon,afternoon,1.614,Balanced approach,TMPL_0007,16:00,push,TMPL_0008,13:00,push,TMPL_0010,16:00,push,TMPL_0010,13:00,push,TMPL_0007,16:00,push,,,,,,,,,,,,
SYN_00026,SEG_01_INA_CRI,Low Activity Users,inactive,73,critical,0.011,low_active,3,night,mid_morning,1.842,"Conservative, avoid fatigue",TMPL_0037,22:00,push,TMPL_0037,10:00,push,TMPL_0037,22:00,push,,,,,,,,,,,,,,,,,,
SYN_00027,SEG_00_PAI_LOW,Moderately Active Users,paid,118,low,0.684,moderate_active,5,late_afternoon,afternoon,1.614,Balanced approach,TMPL_0010,16:00,push,TMPL_0007,13:00,push,TMPL_0009,16:00,push,TMPL_0009,13:00,push,TMPL_0006,16:00,push,,,,,,,,,,,,
SYN_00028,SEG_00_PAI_MED,Moderately Active Users,paid,78,medium,0.377,low_active,3,late_afternoon,afternoon,0.674,"Conservative, avoid fatigue",TMPL_0012,16:00,push,TMPL_0012,13:00,push,TMPL_0012,16:00,push,,,,,,,,,,,,,,,,,,
SYN_00029,SEG_00_PAI_MED,Moderately Active Users,paid,0,medium,0.406,moderate_active,5,late_afternoon,afternoon,0.674,Balanced approach,TMPL_0012,16:00,push,TMPL_0012,13:00,push,TMPL_0012,16:00,push,TMPL_0012,13:00,push,TMPL_0012,16:00,push,,,,,,,,,,,,
SYN_00030,SEG_00_PAI_MED,Moderately Active Users,paid,40,medium,0.507,moderate_active,5,late_afternoon,afternoon,0.674,Balanced approach,TMPL_0012,16:00,push,TMPL_0012,13:00,push,TMPL_0012,16:00,push,TMPL_0012,13:00,push,TMPL_0012,16:00,push,,,,,,,,,,,,
SYN_00031,SEG_01_CHU_CRI,Low Activity Users,churned,138,critical,0.056,low_active,3,afternoon,early_morning,1.83,"Conservative, avoid fatigue",TMPL_0029,13:00,push,TMPL_0028,07:00,push,TMPL_0026,13:00,push,,,,,,,,,,,,,,,,,,
SYN_00032,SEG_00_TRI_HIG,Moderately Active Users,trial,1,high,0.356,low_active,1,late_afternoon,afternoon,2.096,"Conservative, avoid fatigue [GUARDRAIL APPLIED]",TMPL_0017,16:00,push,,,,,,,,,,,,,,,,,,,,,,,,
SYN_00033,SEG_00_PAI_LOW,Moderately Active Users,paid,45,low,0.666,moderate_active,5,late_afternoon,afternoon,1.614,Balanced approach,TMPL_0010,16:00,push,TMPL_0008,13:00,push,TMPL_0006,16:00,push,TMPL_0008,13:00,push,TMPL_0007,16:00,push,,,,,,,,,,,,
SYN_00034,SEG_01_INA_CRI,Low Activity Users,inactive,91,critical,0.015,low_active,3,night,mid_morning,1.842,"Conservative, avoid fatigue",TMPL_0037,22:00,push,TMPL_0037,10:00,push,TMPL_0037,22:00,push,,,,,,,,,,,,,,,,,,
SYN_00035,SEG_00_PAI_MED,Moderately Active Users,paid,60,medium,0.469,moderate_active,5,late_afternoon,afternoon,0.674,Balanced approach,TMPL_0012,16:00,push,TMPL_0012,13:00,push,TMPL_0012,16:00,push,TMPL_0012,13:00,push,TMPL_0012,16:00,push,,,,,,,,,,,,
SYN_00036,SEG_00_TRI_MED,Moderately Active Users,trial,24,medium,0.366,low_active,3,late_afternoon,evening,0.486,"Conservative, avoid fatigue",TMPL_0022,16:00,push,TMPL_0024,19:00,push,TMPL_0025,16:00,push,,,,,,,,,,,,,,,,,,
SYN_00037,SEG_00_PAI_MED,Moderately Active Users,paid,77,medium,0.43,moderate_active,5,late_afternoon,afternoon,0.674,Balanced approach,TMPL_0012,16:00,push,TMPL_0012,13:00,push,TMPL_0012,16:00,push,TMPL_0012,13:00,push,TMPL_0012,16:00,push,,,,,,,,,,,,
SYN_00038,SEG_01_INA_CRI,Low Activity Users,inactive,67,critical,0.022,low_active,3,night,mid_morning,1.842,"Conservative, avoid fatigue",TMPL_0037,22:00,push,TMPL_0037,10:00,push,TMPL_0037,22:00,push,,,,,,,,,,,,,,,,,,
SYN_00039,SEG_00_PAI_MED,Moderately Active Users,paid,46,medium,0.469,moderate_active,5,late_afternoon,afternoon,0.674,Balanced approach,TMPL_0012,16:00,push,TMPL_0012,13:00,push,TMPL_0012,16:00,push,TMPL_0012,13:00,push,TMPL_0012,16:00,push,,,,,,,,,,,,
SYN_00040,SEG_01_CHU_CRI,Low Activity Users,churned,148,critical,0.018,low_active,3,afternoon,early_morning,1.83,"Conservative, avoid fatigue",TMPL_0030,13:00,push,TMPL_0027,07:00,push,TMPL_0029,13:00,push,,,,,,,,,,,,,,,,,,
SYN_00041,SEG_00_PAI_LOW,Moderately Active Users,paid,32,low,0.527,moderate_active,5,late_afternoon,afternoon,1.614,Balanced approach,TMPL_0010,16:00,push,TMPL_0008,13:00,push,TMPL_0008,16:00,push,TMPL_0010,13:00,push,TMPL_0009,16:00,push,,,,,,,,,,,,
SYN_00042,SEG_00_PAI_MED,Moderately Active Users,paid,23,medium,0.37,low_active,3,late_afternoon,afternoon,0.674,"Conservative, avoid fatigue",TMPL_0012,16:00,push,TMPL_0012,13:00,push,TMPL_0012,16:00,push,,,,,,,,,,,,,,,,,,
SYN_00043,SEG_00_PAI_LOW,Moderately Active Users,paid,0,low,0.53,moderate_active,5,late_afternoon,afternoon,1.614,Balanced approach,TMPL_0006,16:00,push,TMPL_0010,13:00,push,TMPL_0007,16:00,push,TMPL_0006,13:00,push,TMPL_0009,16:00,push,,,,,,,,,,,,
SYN_00044,SEG_00_TRI_HIG,Moderately Active Users,trial,0,high,0.3,low_active,1,late_afternoon,afternoon,2.096,"Conservative, avoid fatigue [GUARDRAIL APPLIED]",TMPL_0017,16:00,push,,,,,,,,,,,,,,,,,,,,,,,,
SYN_00045,SEG_00_PAI_MED,Moderately Active Users,paid,64,medium,0.41,moderate_active,5,late_afternoon,afternoon,0.674,Balanced approach,TMPL_0012,16:00,push,TMPL_0012,13:00,push,TMPL_0012,16:00,push,TMPL_0012,13:00,push,TMPL_0012,16:00,push,,,,,,,,,,,,
SYN_00046,SEG_00_TRI_MED,Moderately Active Users,trial,0,medium,0.389,low_active,3,late_afternoon,evening,0.486,"Conservative, avoid fatigue",TMPL_0024,16:00,push,TMPL_0025,19:00,push,TMPL_0023,16:00,push,,,,,,,,,,,,,,,,,,
SYN_00047,SEG_01_INA_CRI,Low Activity Users,inactive,100,critical,0.0,low_active,3,night,mid_morning,1.842,"Conservative, avoid fatigue",TMPL_0037,22:00,push,TMPL_0037,10:00,push,TMPL_0037,22:00,push,,,,,,,,,,,,,,,,,,
SYN_00048,SEG_00_PAI_LOW,Moderately Active Users,paid,86,low,0.528,moderate_active,5,late_afternoon,afternoon,1.614,Balanced approach,TMPL_0009,16:00,push,TMPL_0006,13:00,push,TMPL_0010,16:00,push,TMPL_0006,13:00,push,TMPL_0006,16:00,push,,,,,,,,,,,,
SYN_00049,SEG_01_INA_CRI,Low Activity Users,inactive,45,critical,0.019,low_active,3,night,mid_morning,1.842,"Conservative, avoid fatigue",TMPL_0037,22:00,push,TMPL_0037,10:00,push,TMPL_0037,22:00,push,,,,,,,,,,,,,,,,,,
SYN_00050,SEG_01_CHU_CRI,Low Activity Users,churned,131,critical,0.035,low_active,3,afternoon,early_morning,1.83,"Conservative, avoid fatigue",TMPL_0028,13:00,push,TMPL_0026,07:00,push,TMPL_0028,13:00,push,,,,,,,,,,,,,,,,,,
SYN_00051,SEG_00_TRI_HIG,Moderately Active Users,trial,9,high,0.174,low_active,1,late_afternoon,afternoon,2.096,"Conservative, avoid fatigue [GUARDRAIL APPLIED]",TMPL_0017,16:00,push,,,,,,,,,,,,,,,,,,,,,,,,
SYN_00052,SEG_01_INA_CRI,Low Activity Users,inactive,41,critical,0.035,low_active,3,night,mid_morning,1.842,"Conservative, avoid fatigue",TMPL_0037,22:00,push,TMPL_0037,10:00,push,TMPL_0037,22:00,push,,,,,,,,,,,,,,,,,,
SYN_00053,SEG_01_CHU_CRI,Low Activity Users,churned,105,critical,0.027,low_active,3,afternoon,early_morning,1.83,"Conservative, avoid fatigue",TMPL_0028,13:00,push,TMPL_0029,07:00,push,TMPL_0029,13:00,push,,,,,,,,,,,,,,,,,,
SYN_00054,SEG_00_TRI_MED,Moderately Active Users,trial,0,medium,0.349,low_active,3,late_afternoon,evening,0.486,"Conservative, avoid fatigue",TMPL_0025,16:00,push,TMPL_0021,19:00,push,TMPL_0025,16:00,push,,,,,,,,,,,,,,,,,,
SYN_00055,SEG_00_TRI_HIG,Moderately Active Users,trial,0,high,0.307,low_active,1,late_afternoon,afternoon,2.096,"Conservative, avoid fatigue [GUARDRAIL APPLIED]",TMPL_0017,16:00,push,,,,,,,,,,,,,,,,,,,,,,,,
SYN_00056,SEG_01_TRI_CRI,Low Activity Users,trial,202,critical,0.005,low_active,1,early_morning,mid_morning,2.032,"Conservative, avoid fatigue [GUARDRAIL APPLIED]",TMPL_0041,07:00,push,,,,,,,,,,,,,,,,,,,,,,,,
SYN_00057,SEG_00_PAI_LOW,Moderately Active Users,paid,51,low,0.437,moderate_active,5,late_afternoon,afternoon,1.614,Balanced approach,TMPL_0007,16:00,push,TMPL_0009,13:00,push,TMPL_0009,16:00,push,TMPL_0009,13:00,push,TMPL_0009,16:00,push,,,,,,,,,,,,
SYN_00058,SEG_00_PAI_LOW,Moderately Active Users,paid,100,low,0.515,moderate_active,5,late_afternoon,afternoon,1.614,Balanced approach,TMPL_0010,16:00,push,TMPL_0009,13:00,push,TMPL_0008,16:00,push,TMPL_0009,13:00,push,TMPL_0010,16:00,push,,,,,,,,,,,,
SYN_00059,SEG_01_INA_CRI,Low Activity Users,inactive,13,critical,0.009,low_active,3,night,mid_morning,1.842,"Conservative, avoid fatigue",TMPL_0037,22:00,push,TMPL_0037,10:00,push,TMPL_0037,22:00,push,,,,,,,,,,,,,,,,,,
SYN_00060,SEG_01_INA_CRI,Low Activity Users,inactive,7,critical,0.007,low_active,3,night,mid_morning,1.842,"Conservative, avoid fatigue",TMPL_0037,22:00,push,TMPL_0037,10:00,push,TMPL_0037,22:00,push,,,,,,,,,,,,,,,,,,
SYN_00061,SEG_00_PAI_MED,Moderately Active Users,paid,0,medium,0.46,moderate_active,5,late_afternoon,afternoon,0.674,Balanced approach,TMPL_0012,16:00,push,TMPL_0012,13:00,push,TMPL_0012,16:00,push,TMPL_0012,13:00,push,TMPL_0012,16:00,push,,,,,,,,,,,,
SYN_00062,SEG_00_PAI_MED,Moderately Active Users,paid,11,medium,0.468,moderate_active,5,late_afternoon,afternoon,0.674,Balanced approach,TMPL_0012,16:00,push,TMPL_0012,13:00,push,TMPL_0012,16:00,push,TMPL_0012,13:00,push,TMPL_0012,16:00,push,,,,,,,,,,,,
SYN_00063,SEG_00_TRI_HIG,Moderately Active Users,trial,0,high,0.201,low_active,1,late_afternoon,afternoon,2.096,"Conservative, avoid fatigue [GUARDRAIL APPLIED]",TMPL_0017,16:00,push,,,,,,,,,,,,,,,,,,,,,,,,
SYN_00064,SEG_00_PAI_MED,Moderately Active Users,paid,69,medium,0.477,moderate_active,5,late_afternoon,afternoon,0.674,Balanced approach,TMPL_0012,16:00,push,TMPL_0012,13:00,push,TMPL_0012,16:00,push,TMPL_0012,13:00,push,TMPL_0012,16:00,push,,,,,,,,,,,,
SYN_00065,SEG_00_PAI_MED,Moderately Active Users,paid,77,medium,0.424,moderate_active,5,late_afternoon,afternoon,0.674,Balanced approach,TMPL_0012,16:00,push,TMPL_0012,13:00,push,TMPL_0012,16:00,push,TMPL_0012,13:00,push,TMPL_0012,16:00,push,,,,,,,,,,,,
SYN_00066,SEG_00_TRI_HIG,Moderately Active Users,trial,0,high,0.245,low_active,1,late_afternoon,afternoon,2.096,"Conservative, avoid fatigue [GUARDRAIL APPLIED]",TMPL_0017,16:00,push,,,,,,,,,,,,,,,,,,,,,,,,
SYN_00067,SEG_00_PAI_LOW,Moderately Active Users,paid,62,low,0.547,moderate_active,5,late_afternoon,afternoon,1.614,Balanced approach,TMPL_0010,16:00,push,TMPL_0010,13:00,push,TMPL_0010,16:00,push,TMPL_0007,13:00,push,TMPL_0007,16:00,push,,,,,,,,,,,,
SYN_00068,SEG_01_TRI_HIG,Low Activity Users,trial,10,high,0.289,low_active,3,afternoon,late_afternoon,1.886,"Conservative, avoid fatigue",TMPL_0047,13:00,push,TMPL_0047,16:00,push,TMPL_0047,13:00,push,,,,,,,,,,,,,,,,,,
SYN_00069,SEG_00_PAI_LOW,Moderately Active Users,paid,85,low,0.553,moderate_active,5,late_afternoon,afternoon,1.614,Balanced approach,TMPL_0008,16:00,push,TMPL_0007,13:00,push,TMPL_0010,16:00,push,TMPL_0009,13:00,push,TMPL_0009,16:00,push,,,,,,,,,,,,
SYN_00070,SEG_00_PAI_MED,Moderately Active Users,paid,111,medium,0.328,low_active,3,late_afternoon,afternoon,0.674,"Conservative, avoid fatigue",TMPL_0012,16:00,push,TMPL_0012,13:00,push,TMPL_0012,16:00,push,,,,,,,,,,,,,,,,,,
SYN_00071,SEG_00_PAI_MED,Moderately Active Users,paid,0,medium,0.386,low_active,3,late_afternoon,afternoon,0.674,"Conservative, avoid fatigue",TMPL_0012,16:00,push,TMPL_0012,13:00,push,TMPL_0012,16:00,push,,,,,,,,,,,,,,,,,,
SYN_00072,SEG_00_PAI_LOW,Moderately Active Users,paid,63,low,0.494,moderate_active,5,late_afternoon,afternoon,1.614,Balanced approach,TMPL_0010,16:00,push,TMPL_0006,13:00,push,TMPL_0010,16:00,push,TMPL_0007,13:00,push,TMPL_0009,16:00,push,,,,,,,,,,,,
SYN_00073,SEG_00_PAI_LOW,Moderately Active Users,paid,114,low,0.669,moderate_active,5,late_afternoon,afternoon,1.614,Balanced approach,TMPL_0010,16:00,push,TMPL_0009,13:00,push,TMPL_0010,16:00,push,TMPL_0010,13:00,push,TMPL_0007,16:00,push,,,,,,,,,,,,
SYN_00074,SEG_00_TRI_MED,Moderately Active Users,trial,0,medium,0.384,low_active,3,late_afternoon,evening,0.486,"Conservative, avoid fatigue",TMPL_0022,16:00,push,TMPL_0024,19:00,push,TMPL_0023,16:00,push,,,,,,,,,,,,,,,,,,
SYN_00075,SEG_01_INA_CRI,Low Activity Users,inactive,74,critical,0.01,low_active,3,night,mid_morning,1.842,"Conservative, avoid fatigue",TMPL_0037,22:00,push,TMPL_0037,10:00,push,TMPL_0037,22:00,push,,,,,,,,,,,,,,,,,,
SYN_00076,SEG_00_PAI_LOW,Moderately Active Users,paid,12,low,0.496,moderate_active,5,late_afternoon,afternoon,1.614,Balanced approach,TMPL_0009,16:00,push,TMPL_0007,13:00,push,TMPL_0008,16:00,push,TMPL_0010,13:00,push,TMPL_0006,16:00,push,,,,,,,,,,,,
SYN_00077,SEG_00_PAI_MED,Moderately Active Users,paid,76,medium,0.445,moderate_active,5,late_afternoon,afternoon,0.674,Balanced approach,TMPL_0012,16:00,push,TMPL_0012,13:00,push,TMPL_0012,16:00,push,TMPL_0012,13:00,push,TMPL_0012,16:00,push,,,,,,,,,,,,
SYN_00078,SEG_00_PAI_LOW,Moderately Active Users,paid,17,low,0.577,moderate_active,5,late_afternoon,afternoon,1.614,Balanced approach,TMPL_0008,16:00,push,TMPL_0008,13:00,push,TMPL_0010,16:00,push,TMPL_0006,13:00,push,TMPL_0006,16:00,push,,,,,,,,,,,,
SYN_00079,SEG_01_INA_CRI,Low Activity Users,inactive,7,critical,0.005,low_active,3,night,mid_morning,1.842,"Conservative, avoid fatigue",TMPL_0037,22:00,push,TMPL_0037,10:00,push,TMPL_0037,22:00,push,,,,,,,,,,,,,,,,,,
SYN_00080,SEG_00_TRI_HIG,Moderately Active Users,trial,4,high,0.252,low_active,1,late_afternoon,afternoon,2.096,"Conservative, avoid fatigue [GUARDRAIL APPLIED]",TMPL_0017,16:00,push,,,,,,,,,,,,,,,,,,,,,,,,
SYN_00081,SEG_00_TRI_MED,Moderately Active Users,trial,0,medium,0.327,low_active,3,late_afternoon,evening,0.486,"Conservative, avoid fatigue",TMPL_0025,16:00,push,TMPL_0023,19:00,push,TMPL_0021,16:00,push,,,,,,,,,,,,,,,,,,
SYN_00082,SEG_00_TRI_HIG,Moderately Active Users,trial,0,high,0.106,low_active,1,late_afternoon,afternoon,2.096,"Conservative, avoid fatigue [GUARDRAIL APPLIED]",TMPL_0017,16:00,push,,,,,,,,,,,,,,,,,,,,,,,,
SYN_00083,SEG_00_PAI_MED,Moderately Active Users,paid,8,medium,0.328,low_active,3,late_afternoon,afternoon,0.674,"Conservative, avoid fatigue",TMPL_0012,16:00,push,TMPL_0012,13:00,push,TMPL_0012,16:00,push,,,,,,,,,,,,,,,,,,
SYN_00084,SEG_00_PAI_MED,Moderately Active Users,paid,106,medium,0.441,moderate_active,5,late_afternoon,afternoon,0.674,Balanced approach,TMPL_0012,16:00,push,TMPL_0012,13:00,push,TMPL_0012,16:00,push,TMPL_0012,13:00,push,TMPL_0012,16:00,push,,,,,,,,,,,,
SYN_00085,SEG_00_PAI_MED,Moderately Active Users,paid,94,medium,0.354,low_active,3,late_afternoon,afternoon,0.674,"Conservative, avoid fatigue",TMPL_0012,16:00,push,TMPL_0012,13:00,push,TMPL_0012,16:00,push,,,,,,,,,,,,,,,,,,
SYN_00086,SEG_01_CHU_CRI,Low Activity Users,churned,92,critical,0.045,low_active,3,afternoon,early_morning,1.83,"Conservative, avoid fatigue",TMPL_0027,13:00,push,TMPL_0026,07:00,push,TMPL_0028,13:00,push,,,,,,,,,,,,,,,,,,
SYN_00087,SEG_00_PAI_MED,Moderately Active Users,paid,96,medium,0.264,low_active,3,late_afternoon,afternoon,0.674,"Conservative, avoid fatigue",TMPL_0012,16:00,push,TMPL_0012,13:00,push,TMPL_0012,16:00,push,,,,,,,,,,,,,,,,,,
SYN_00088,SEG_00_PAI_MED,Moderately Active Users,paid,91,medium,0.267,low_active,3,late_afternoon,afternoon,0.674,"Conservative, avoid fatigue",TMPL_0012,16:00,push,TMPL_0012,13:00,push,TMPL_0012,16:00,push,,,,,,,,,,,,,,,,,,
SYN_00089,SEG_01_INA_CRI,Low Activity Users,inactive,45,critical,0.015,low_active,3,night,mid_morning,1.842,"Conservative, avoid fatigue",TMPL_0037,22:00,push,TMPL_0037,10:00,push,TMPL_0037,22:00,push,,,,,,,,,,,,,,,,,,
SYN_00090,SEG_00_PAI_LOW,Moderately Active Users,paid,124,low,0.574,moderate_active,5,late_afternoon,afternoon,1.614,Balanced approach,TMPL_0006,16:00,push,TMPL_0008,13:00,push,TMPL_0010,16:00,push,TMPL_0009,13:00,push,TMPL_0007,16:00,push,,,,,,,,,,,,
SYN_00091,SEG_01_CHU_CRI,Low Activity Users,churned,92,critical,0.027,low_active,3,afternoon,early_morning,1.83,"Conservative, avoid fatigue",TMPL_0030,13:00,push,TMPL_0030,07:00,push,TMPL_0029,13:00,push,,,,,,,,,,,,,,,,,,
SYN_00092,SEG_01_CHU_CRI,Low Activity Users,churned,130,critical,0.042,low_active,3,afternoon,early_morning,1.83,"Conservative, avoid fatigue",TMPL_0026,13:00,push,TMPL_0029,07:00,push,TMPL_0030,13:00,push,,,,,,,,,,,,,,,,,,
SYN_00093,SEG_01_TRI_CRI,Low Activity Users,trial,175,critical,0.025,low_active,1,early_morning,mid_morning,2.032,"Conservative, avoid fatigue [GUARDRAIL APPLIED]",TMPL_0045,07:00,push,,,,,,,,,,,,,,,,,,,,,,,,
SYN_00094,SEG_00_PAI_LOW,Moderately Active Users,paid,25,low,0.654,moderate_active,5,late_afternoon,afternoon,1.614,Balanced approach,TMPL_0010,16:00,push,TMPL_0006,13:00,push,TMPL_0008,16:00,push,TMPL_0007,13:00,push,TMPL_0008,16:00,push,,,,,,,,,,,,
